IAM_Domain,Sub_Domain,Question_ID,Question,ISO_27001_2022,NIST_800_53_Rev5,SOC_2_TSC,GDPR,PCI_DSS_4_0,HIPAA,CIS_Controls,Answer_Type,Notes
Identity Lifecycle Management,Internal Transfers,ILM-011,Is there a formal process for modifying access when employees change roles?,"A.5.16, A.5.18","AC-2(7), AC-6(9)","CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(4)(ii)(C),CIS 5.4,Yes/No,Verify mover process exists
Identity Lifecycle Management,Internal Transfers,ILM-012,Are previous access rights removed promptly when an employee changes roles?,"A.5.16, A.5.18","AC-2(7), AC-6(9)","CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Check for access creep prevention
Identity Lifecycle Management,Internal Transfers,ILM-013,How long does it take to update access rights for role changes?,"A.5.16, A.5.18",AC-2,"CC6.1, CC7.2",Article 32,Req 7.2.2,164.308(a)(4)(ii)(C),CIS 5.4,Text/Numeric,Measure efficiency
Identity Lifecycle Management,Account Management,ILM-014,Is there a centralized identity repository or directory service (e.g. Active Directory Azure AD)?,"A.5.16, A.8.6","IA-4, IA-8","CC6.1, CC6.6",Article 32,Req 8.2.1,164.312(a)(2)(i),CIS 5.1,Yes/No,Check for central identity store
Identity Lifecycle Management,Account Management,ILM-015,Are shared or generic accounts prohibited?,"A.5.16, A.5.17","IA-2(5), IA-4(4)","CC6.1, CC6.2",Article 32,"Req 8.2.1, 8.2.2",164.312(a)(2)(i),CIS 5.2,Yes/No,Critical control
Identity Lifecycle Management,Account Management,ILM-016,If shared accounts exist what is the business justification and how are they controlled?,"A.5.16, A.5.17",IA-4(4),"CC6.1, CC6.2",Article 32,Req 8.2.2,164.312(a)(2)(i),CIS 5.2,Text,Document exceptions
Identity Lifecycle Management,Account Management,ILM-017,Are service accounts managed separately from user accounts?,"A.5.16, A.5.18","IA-4, AC-2(7)","CC6.1, CC6.2",Article 32,Req 8.2.1,164.312(a)(2)(i),CIS 5.2,Yes/No,Check service account governance
Identity Lifecycle Management,Account Management,ILM-018,Is there an inventory of all user accounts across all systems?,"A.5.9, A.5.16","AC-2(1), CM-8","CC6.1, CC7.2",Article 30,Req 12.5.2,164.308(a)(1)(ii)(A),CIS 1.1,Yes/No,Verify asset inventory exists
Identity Lifecycle Management,Account Management,ILM-019,Are dormant/inactive accounts identified and disabled automatically?,"A.5.16, A.5.18","AC-2(3), IA-4(8)","CC6.1, CC6.2",Article 32,Req 8.2.6,164.308(a)(3)(ii)(C),CIS 5.3,Yes/No,Check for automated deactivation
Identity Lifecycle Management,Account Management,ILM-020,What is the defined threshold for account inactivity before automatic suspension?,"A.5.16, A.5.18","AC-2(3), IA-4(8)","CC6.1, CC6.2",Article 32,Req 8.2.6,164.308(a)(3)(ii)(C),CIS 5.3,Text/Numeric,Document policy threshold
Authentication & Authorization,Authentication Methods,AUTH-001,What authentication methods are supported (password SSO MFA biometric)?,"A.5.17, A.5.18","IA-2, IA-8","CC6.1, CC6.2",Article 32,"Req 8.3.1, 8.4.2",164.312(d),CIS 6.3,Multiple Choice,Document all methods
Authentication & Authorization,Authentication Methods,AUTH-002,Is Multi-Factor Authentication (MFA) enforced for all users?,"A.5.17, A.5.18","IA-2(1), IA-2(2)","CC6.1, CC6.2",Article 32,"Req 8.4.2, 8.5.1",164.312(d),CIS 6.3,Yes/No,Critical security control
Authentication & Authorization,Authentication Methods,AUTH-003,Is MFA enforced for privileged/administrative accounts?,"A.5.17, A.5.18","IA-2(1), AC-6(5)","CC6.1, CC6.2",Article 32,"Req 8.4.3, 8.5.1",164.312(d),CIS 6.3,Yes/No,Mandatory requirement
Authentication & Authorization,Authentication Methods,AUTH-004,Is MFA enforced for remote access?,"A.5.17, A.5.18","IA-2(1), AC-17(2)","CC6.1, CC6.2",Article 32,"Req 8.4.2, 8.4.3",164.312(d),CIS 6.3,Yes/No,Critical for remote work
Authentication & Authorization,Authentication Methods,AUTH-005,What MFA methods are used (SMS OTP authenticator app biometric hardware token)?,"A.5.17, A.5.18","IA-2(1), IA-5(1)","CC6.1, CC6.2",Article 32,Req 8.4.2,164.312(d),CIS 6.3,Multiple Choice,Document MFA methods
Authentication & Authorization,Authentication Methods,AUTH-006,Are phishing-resistant MFA methods (FIDO2 hardware tokens) implemented?,"A.5.17, A.5.18","IA-2(1), IA-2(2)","CC6.1, CC6.2",Article 32,Req 8.4.2,164.312(d),CIS 6.3,Yes/No,Best practice for high-risk
Authentication & Authorization,Single Sign-On,AUTH-007,Is Single Sign-On (SSO) implemented across enterprise applications?,"A.5.17, A.5.18","IA-2(8), AC-7","CC6.1, CC6.6",Article 32,Req 8.3.1,164.312(a)(2)(i),CIS 6.3,Yes/No,Check SSO adoption
Authentication & Authorization,Single Sign-On,AUTH-008,What percentage of applications are integrated with SSO?,"A.5.17, A.5.18","IA-2(8), IA-8","CC6.1, CC6.6",Article 32,Req 8.3.1,164.312(a)(2)(i),CIS 6.3,Text/Numeric,Measure SSO coverage
Authentication & Authorization,Single Sign-On,AUTH-009,Is federated identity management used with external partners/vendors?,"A.5.17, A.5.18","IA-8, AC-17","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 6.3,Yes/No,Check external federation
Authentication & Authorization,Single Sign-On,AUTH-010,Which identity federation protocols are used (SAML OAuth2 OIDC)?,"A.5.17, A.5.18","IA-8, SC-8","CC6.1, CC6.7",Article 32,Req 4.2.1,164.312(e)(1),CIS 6.3,Multiple Choice,Document protocols
Authentication & Authorization,Password Management,AUTH-011,Are password complexity requirements enforced?,"A.5.17, A.5.18","IA-5(1), IA-5(4)","CC6.1, CC6.2",Article 32,Req 8.3.6,164.308(a)(5)(ii)(D),CIS 5.2,Yes/No,Check policy enforcement
Authentication & Authorization,Password Management,AUTH-012,What are the minimum password length and complexity requirements?,"A.5.17, A.5.18","IA-5(1), IA-5(4)","CC6.1, CC6.2",Article 32,Req 8.3.6,164.308(a)(5)(ii)(D),CIS 5.2,Text,Document specific requirements
Authentication & Authorization,Password Management,AUTH-013,Are passwords required to be changed after initial login?,"A.5.17, A.5.18",IA-5(1),"CC6.1, CC6.2",Article 32,Req 8.3.9,164.308(a)(5)(ii)(D),CIS 5.2,Yes/No,Force initial change
Authentication & Authorization,Password Management,AUTH-014,Is password history enforced to prevent password reuse?,"A.5.17, A.5.18","IA-5(1), IA-5(4)","CC6.1, CC6.2",Article 32,Req 8.3.7,164.308(a)(5)(ii)(D),CIS 5.2,Yes/No,Check reuse prevention
Authentication & Authorization,Password Management,AUTH-015,How many previous passwords are remembered in the password history?,"A.5.17, A.5.18",IA-5(1),"CC6.1, CC6.2",Article 32,Req 8.3.7,164.308(a)(5)(ii)(D),CIS 5.2,Text/Numeric,Document history count
Authentication & Authorization,Password Management,AUTH-016,Are default passwords changed immediately upon system deployment?,"A.5.17, A.5.18",IA-5(1),"CC6.1, CC6.2",Article 32,"Req 8.3.9, 2.2.2",164.308(a)(5)(ii)(D),CIS 5.2,Yes/No,Critical security control
Authentication & Authorization,Password Management,AUTH-017,Is self-service password reset available to users?,"A.5.17, A.5.18",IA-5(1),"CC6.1, CC7.2",Article 32,Req 8.3.5,164.308(a)(5)(ii)(D),CIS 5.2,Yes/No,Check automation
Authentication & Authorization,Password Management,AUTH-018,What verification methods are used for password reset (security questions email MFA)?,"A.5.17, A.5.18","IA-5(1), IA-5(11)","CC6.1, CC6.2",Article 32,Req 8.3.5,164.308(a)(5)(ii)(D),CIS 5.2,Multiple Choice,Document reset methods
Authentication & Authorization,Password Management,AUTH-019,Are passwords stored using strong cryptographic hashing (bcrypt Argon2)?,"A.5.17, A.8.24","IA-5(1), SC-28","CC6.1, CC6.7",Article 32,Req 8.3.2,164.312(a)(2)(iv),CIS 3.11,Yes/No,Critical data protection
Authentication & Authorization,Password Management,AUTH-020,Is there a password manager solution provided to employees?,"A.5.17, A.5.18",IA-5(1),"CC6.1, CC6.2",Article 32,Req 8.3.10,164.308(a)(5)(ii)(D),CIS 5.2,Yes/No,Security best practice
Authentication & Authorization,Session Management,AUTH-021,Are session timeouts configured for all applications?,"A.5.18, A.8.15",AC-12,"CC6.1, CC7.2",Article 32,Req 8.2.8,164.312(a)(2)(iii),CIS 4.3,Yes/No,Check timeout policies
Authentication & Authorization,Session Management,AUTH-022,What is the maximum idle timeout period for user sessions?,"A.5.18, A.8.15",AC-12,"CC6.1, CC7.2",Article 32,Req 8.2.8,164.312(a)(2)(iii),CIS 4.3,Text/Numeric,Document timeout values
Authentication & Authorization,Session Management,AUTH-023,Are sessions automatically terminated after maximum session lifetime?,"A.5.18, A.8.15",AC-12,"CC6.1, CC7.2",Article 32,Req 8.2.8,164.312(a)(2)(iii),CIS 4.3,Yes/No,Verify max lifetime
Authentication & Authorization,Session Management,AUTH-024,Is concurrent session control implemented to limit simultaneous logins?,"A.5.18, A.8.15",AC-10,"CC6.1, CC6.2",Article 32,Req 8.2.7,164.312(a)(2)(iii),CIS 4.3,Yes/No,Prevent session hijacking
Authentication & Authorization,Authorization,AUTH-025,Is the principle of least privilege enforced for all user accounts?,"A.5.18, A.8.2","AC-6, AC-6(1)","CC6.1, CC6.2",Article 5,"Req 7.2.1, 7.2.2",164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Fundamental security principle
Authentication & Authorization,Authorization,AUTH-026,Are administrative functions separated from standard user functions?,"A.5.18, A.8.3","AC-6(1), AC-6(2)","CC6.1, CC6.2",Article 32,Req 7.2.3,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Check function separation
Authentication & Authorization,Authorization,AUTH-027,Are authorization decisions logged and monitored?,"A.5.18, A.8.15","AC-3, AU-2","CC6.1, CC7.2",Article 32,"Req 10.2.4, 10.2.5",164.312(b),CIS 8.2,Yes/No,Verify audit logging
Access Control & Governance,Role-Based Access Control,ACG-001,Is Role-Based Access Control (RBAC) implemented across the organization?,"A.5.18, A.8.2","AC-2(7), AC-6","CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Check RBAC implementation
Access Control & Governance,Role-Based Access Control,ACG-002,Are roles defined based on job functions and responsibilities?,"A.5.18, A.8.2","AC-2(7), AC-5","CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Verify role definitions
Access Control & Governance,Role-Based Access Control,ACG-003,How many roles are defined in the IAM system?,"A.5.18, A.8.2",AC-2(7),"CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(B),CIS 5.4,Text/Numeric,Assess role granularity
Access Control & Governance,Role-Based Access Control,ACG-004,Are roles reviewed and updated regularly?,"A.5.18, A.8.2","AC-2(7), AC-2(12)","CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Check review process
Access Control & Governance,Role-Based Access Control,ACG-005,What is the frequency of role definition reviews?,"A.5.18, A.8.2",AC-2(12),"CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(B),CIS 5.4,Text,Document review frequency
Access Control & Governance,Role-Based Access Control,ACG-006,Are role assignments documented and approved?,"A.5.18, A.8.2","AC-2(7), AC-2(1)","CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(4)(ii)(C),CIS 5.4,Yes/No,Verify approval workflows
Access Control & Governance,Access Reviews,ACG-007,Are access rights reviews conducted regularly?,"A.5.18, A.8.2","AC-2(12), AC-6(9)","CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(C),CIS 5.4,Yes/No,Critical governance control
Access Control & Governance,Access Reviews,ACG-008,What is the frequency of access reviews (quarterly semi-annual annual)?,"A.5.18, A.8.2",AC-2(12),"CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(C),CIS 5.4,Multiple Choice,Document review cycle
Access Control & Governance,Access Reviews,ACG-009,Are privileged account access reviews conducted more frequently than standard accounts?,"A.5.18, A.8.2","AC-2(12), AC-6(5)","CC6.1, CC6.2",Article 32,Req 7.2.5,164.308(a)(3)(ii)(C),CIS 5.4,Yes/No,Higher risk requires more frequent review
Access Control & Governance,Access Reviews,ACG-010,Who is responsible for approving access during reviews (managers system owners)?,"A.5.18, A.8.2",AC-2(12),"CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(C),CIS 5.4,Text,Define approval authority
Access Control & Governance,Access Reviews,ACG-011,Are access review results documented and remediation actions tracked?,"A.5.18, A.8.2","AC-2(12), CA-7","CC6.1, CC7.2",Article 32,Req 12.5.1,164.308(a)(1)(ii)(D),CIS 5.4,Yes/No,Verify documentation
Access Control & Governance,Access Reviews,ACG-012,What percentage of access reviews are completed on time?,"A.5.18, A.8.2",AC-2(12),"CC6.1, CC7.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(C),CIS 5.4,Text/Numeric,Measure compliance rate
Access Control & Governance,Access Reviews,ACG-013,Are orphaned accounts identified and removed during access reviews?,"A.5.16, A.5.18","AC-2(3), AC-2(12)","CC6.1, CC6.2",Article 32,Req 8.2.6,164.308(a)(3)(ii)(C),CIS 5.3,Yes/No,Cleanup inactive accounts
Access Control & Governance,Segregation of Duties,ACG-014,Are Segregation of Duties (SoD) controls defined and enforced?,"A.5.18, A.8.2","AC-5, AC-6(1)","CC6.1, CC6.2",Article 32,Req 7.2.3,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Critical fraud prevention
Access Control & Governance,Segregation of Duties,ACG-015,Are SoD conflicts identified before granting access?,"A.5.18, A.8.2","AC-5, AC-2(1)","CC6.1, CC6.2",Article 32,Req 7.2.3,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Preventive control
Access Control & Governance,Segregation of Duties,ACG-016,How are SoD conflicts resolved when identified?,"A.5.18, A.8.2","AC-5, AC-5(2)","CC6.1, CC6.2",Article 32,Req 7.2.3,164.308(a)(3)(ii)(B),CIS 5.4,Text,Document resolution process
Access Control & Governance,Segregation of Duties,ACG-017,Are compensating controls implemented when SoD violations cannot be eliminated?,"A.5.18, A.8.2",AC-5(2),"CC6.1, CC6.2",Article 32,Req 7.2.3,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Check compensating controls
Access Control & Governance,Segregation of Duties,ACG-018,Is there a process to periodically review and update SoD rules?,"A.5.18, A.8.2","AC-5, CA-7","CC6.1, CC6.2",Article 32,Req 7.2.3,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Maintain rule effectiveness
Access Control & Governance,Access Request Management,ACG-019,Is there a formal access request and approval process?,"A.5.18, A.8.2","AC-2, AC-2(1)","CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(4)(ii)(C),CIS 5.4,Yes/No,Verify request process
Access Control & Governance,Access Request Management,ACG-020,Are access requests submitted through a centralized system (ticketing workflow)?,"A.5.18, A.8.2",AC-2(1),"CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(4)(ii)(C),CIS 5.4,Yes/No,Check centralization
Access Control & Governance,Access Request Management,ACG-021,Are all access requests documented with business justification?,"A.5.18, A.8.2","AC-2(1), AC-2(7)","CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(4)(ii)(C),CIS 5.4,Yes/No,Documentation requirement
Access Control & Governance,Access Request Management,ACG-022,Who approves access requests (direct manager system owner data owner)?,"A.5.18, A.8.2",AC-2(1),"CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(4)(ii)(C),CIS 5.4,Multiple Choice,Define approval hierarchy
Access Control & Governance,Access Request Management,ACG-023,Is multi-level approval required for privileged or sensitive access?,"A.5.18, A.8.2","AC-2(1), AC-6(5)","CC6.1, CC6.2",Article 32,Req 7.2.5,164.308(a)(4)(ii)(C),CIS 5.4,Yes/No,Higher scrutiny for privilege
Access Control & Governance,Access Request Management,ACG-024,What is the average turnaround time for access request fulfillment?,"A.5.18, A.8.2",AC-2,"CC6.1, CC7.2",Article 32,Req 7.2.2,164.308(a)(4)(ii)(C),CIS 5.4,Text/Numeric,Measure efficiency
Access Control & Governance,Access Certification,ACG-025,Are access certification campaigns conducted systematically?,"A.5.18, A.8.2","AC-2(12), AC-6(9)","CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(C),CIS 5.4,Yes/No,Systematic certification process
Access Control & Governance,Access Certification,ACG-026,Is there an automated tool for access certification workflows?,"A.5.18, A.8.2",AC-2(12),"CC6.1, CC7.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(C),CIS 5.4,Yes/No,Check automation level
Access Control & Governance,Access Certification,ACG-027,Are certification reviewers provided with context (last login usage data role changes)?,"A.5.18, A.8.2","AC-2(12), AU-6","CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(C),CIS 5.4,Yes/No,Improve review quality
Access Control & Governance,Access Certification,ACG-028,What happens to access that is not certified within the deadline?,"A.5.18, A.8.2",AC-2(12),"CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(C),CIS 5.4,Text,Document enforcement policy
Access Control & Governance,Access Certification,ACG-029,Are certification completion rates tracked and reported to management?,"A.5.18, A.8.2","AC-2(12), CA-7","CC6.1, CC7.2",Article 32,Req 12.5.1,164.308(a)(1)(ii)(D),CIS 5.4,Yes/No,Management visibility
Privileged Access Management,Privileged Account Inventory,PAM-001,Is there a comprehensive inventory of all privileged accounts?,"A.5.18, A.8.2","AC-2(1), AC-6(5)","CC6.1, CC6.2",Article 30,"Req 7.2.5, 8.2.1",164.308(a)(3)(ii)(A),CIS 5.4,Yes/No,Critical for PAM
Privileged Access Management,Privileged Account Inventory,PAM-002,Are privileged accounts classified by risk level (domain admin root superuser)?,"A.5.18, A.8.2","AC-6(5), RA-2","CC6.1, CC6.2",Article 32,Req 7.2.5,164.308(a)(3)(ii)(A),CIS 5.4,Yes/No,Risk-based approach
Privileged Access Management,Privileged Account Inventory,PAM-003,Are emergency/break-glass accounts documented and controlled?,"A.5.18, A.8.2","AC-2(1), AC-6(5)","CC6.1, CC6.2",Article 32,Req 7.2.5,164.308(a)(3)(ii)(A),CIS 5.4,Yes/No,Emergency access control
Privileged Access Management,Privileged Account Access,PAM-004,Is a Privileged Access Management (PAM) solution implemented?,"A.5.18, A.8.2","AC-2(1), AC-6(2)","CC6.1, CC6.2",Article 32,"Req 7.2.5, 8.2.2",164.312(a)(2)(i),CIS 5.4,Yes/No,Check PAM implementation
Privileged Access Management,Privileged Account Access,PAM-005,Are privileged credentials stored in a secure password vault?,"A.5.17, A.8.24","IA-5(7), SC-28","CC6.1, CC6.7",Article 32,Req 8.3.2,164.312(a)(2)(iv),CIS 5.2,Yes/No,Credential protection
Privileged Access Management,Privileged Account Access,PAM-006,Is Just-in-Time (JIT) privileged access implemented?,"A.5.18, A.8.2","AC-6(2), AC-2(9)","CC6.1, CC6.2",Article 32,Req 7.2.5,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Time-limited privilege elevation
Privileged Access Management,Privileged Account Access,PAM-007,Are privileged sessions recorded and monitored?,"A.5.18, A.8.15","AC-6(9), AU-2","CC6.1, CC7.2",Article 32,"Req 10.2.2, 10.3.4",164.312(b),CIS 5.4,Yes/No,Session monitoring
Privileged Access Management,Privileged Account Access,PAM-008,How long are privileged session recordings retained?,"A.8.12, A.8.15","AU-11, SI-12","CC7.3, CC7.4",Article 5,Req 10.5.1,164.312(b),CIS 8.3,Text/Numeric,Retention policy
Privileged Access Management,Privileged Account Access,PAM-009,Is checkout/check-in of privileged credentials enforced?,"A.5.17, A.5.18","IA-5(7), AC-6(2)","CC6.1, CC6.2",Article 32,Req 8.3.2,164.312(a)(2)(i),CIS 5.4,Yes/No,Credential lifecycle control
Privileged Access Management,Privileged Account Access,PAM-010,Are privileged credentials automatically rotated after each use?,"A.5.17, A.5.18","IA-5(1), IA-5(7)","CC6.1, CC6.2",Article 32,Req 8.3.10,164.308(a)(5)(ii)(D),CIS 5.2,Yes/No,Automatic rotation
Privileged Access Management,Privilege Elevation,PAM-011,Is privilege elevation (sudo run-as) logged and monitored?,"A.5.18, A.8.15","AC-6(9), AU-2","CC6.1, CC7.2",Article 32,"Req 10.2.2, 10.2.5",164.312(b),CIS 5.4,Yes/No,Track elevation events
Privileged Access Management,Privilege Elevation,PAM-012,Are users required to provide justification for privilege elevation?,"A.5.18, A.8.2","AC-6(2), AC-2(1)","CC6.1, CC6.2",Article 32,Req 7.2.5,164.308(a)(4)(ii)(C),CIS 5.4,Yes/No,Accountability measure
Privileged Access Management,Privilege Elevation,PAM-013,Is approval required before granting temporary privileged access?,"A.5.18, A.8.2","AC-2(1), AC-6(2)","CC6.1, CC6.2",Article 32,Req 7.2.5,164.308(a)(4)(ii)(C),CIS 5.4,Yes/No,Approval workflow
Privileged Access Management,Privilege Elevation,PAM-014,How long can privileged access be elevated before automatic revocation?,"A.5.18, A.8.2","AC-6(2), AC-2(9)","CC6.1, CC6.2",Article 32,Req 7.2.5,164.308(a)(3)(ii)(B),CIS 5.4,Text/Numeric,Time-bound privileges
Privileged Access Management,Privileged Account Monitoring,PAM-015,Are privileged account activities monitored in real-time?,"A.5.18, A.8.15","AC-6(9), SI-4","CC6.1, CC7.2",Article 32,"Req 10.2.2, 10.6.1",164.312(b),CIS 8.2,Yes/No,Real-time monitoring
Privileged Access Management,Privileged Account Monitoring,PAM-016,Are alerts generated for suspicious privileged account activities?,"A.8.15, A.8.16","SI-4, IR-4","CC6.1, CC7.2",Article 32,Req 10.6.1,164.312(b),CIS 8.11,Yes/No,Threat detection
Privileged Access Management,Privileged Account Monitoring,PAM-017,Are privileged account usage reports generated and reviewed regularly?,"A.5.18, A.8.15","AC-6(9), AU-6","CC6.1, CC7.2",Article 32,"Req 10.6.1, 10.6.2",164.308(a)(1)(ii)(D),CIS 8.5,Yes/No,Regular review process
Privileged Access Management,Service Accounts,PAM-018,Are service account credentials managed through the PAM solution?,"A.5.17, A.5.18","IA-5(7), AC-2","CC6.1, CC6.2",Article 32,Req 8.2.1,164.312(a)(2)(i),CIS 5.2,Yes/No,Service account protection
Privileged Access Management,Service Accounts,PAM-019,Are service account passwords rotated regularly?,"A.5.17, A.5.18","IA-5(1), IA-5(7)","CC6.1, CC6.2",Article 32,Req 8.3.10,164.308(a)(5)(ii)(D),CIS 5.2,Yes/No,Credential rotation
Privileged Access Management,Service Accounts,PAM-020,What is the rotation frequency for service account credentials?,"A.5.17, A.5.18",IA-5(1),"CC6.1, CC6.2",Article 32,Req 8.3.10,164.308(a)(5)(ii)(D),CIS 5.2,Text/Numeric,Document rotation schedule
Privileged Access Management,Service Accounts,PAM-021,Are service accounts reviewed to ensure they are still required?,"A.5.16, A.5.18","AC-2(1), AC-2(12)","CC6.1, CC6.2",Article 32,Req 7.2.2,164.308(a)(3)(ii)(C),CIS 5.4,Yes/No,Periodic validation
Third-Party & External Access,Vendor Access Management,TPA-001,Is there a formal process for granting access to third-party vendors?,"A.5.18, A.5.19","AC-2, AC-20","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 5.4,Yes/No,Vendor access control
Third-Party & External Access,Vendor Access Management,TPA-002,Are vendor access requests risk-assessed before approval?,"A.5.19, A.5.20","AC-20, RA-3","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 5.4,Yes/No,Risk-based decisions
Third-Party & External Access,Vendor Access Management,TPA-003,Is vendor access time-limited and purpose-specific?,"A.5.19, A.5.20","AC-20, AC-2(9)","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 5.4,Yes/No,Least privilege for vendors
Third-Party & External Access,Vendor Access Management,TPA-004,Are vendor accounts disabled immediately after contract completion?,"A.5.19, A.5.20","AC-2(3), AC-20","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 5.3,Yes/No,Timely deactivation
Third-Party & External Access,Vendor Access Management,TPA-005,Is there an inventory of all active vendor accounts?,"A.5.9, A.5.19","AC-2(1), CM-8","CC6.1, CC6.2",Article 30,Req 12.8.2,164.308(b)(4),CIS 1.1,Yes/No,Vendor account tracking
Third-Party & External Access,Vendor Access Management,TPA-006,Are vendor activities monitored and logged?,"A.5.19, A.8.15","AC-20, AU-2","CC6.1, CC7.2",Article 28,"Req 10.2.1, 10.2.2",164.308(b)(1),CIS 8.2,Yes/No,Vendor activity monitoring
Third-Party & External Access,Vendor Access Management,TPA-007,Is MFA enforced for all vendor remote access?,"A.5.17, A.5.19","IA-2(1), AC-17","CC6.1, CC6.2",Article 32,Req 8.4.3,164.312(d),CIS 6.3,Yes/No,Mandatory MFA for vendors
