iam_domain,question_id,section_id,question_text,answer_type,question_type,iso_27001_2022,nist_800_53_rev5,soc_2_tsc,gdpr,pci_dss_4_0,hipaa,cis_controls,
User Authentication,Q_014,IDP,Are stale or unused accounts in the IdP identified and removed or disabled in a timely manner?,yes_no_partial_with_text,follow_up,A.8.2|A.8.3,AC-2,CC6.2,Art.5(1)(e)|Art.32(1),7.2.5,164.308(a)(3),5.5,
User Authentication,Q_015,IDP,Do you use separate IdP tenants or partitions for production and non production environments?,yes_no_partial_with_text,follow_up,A.5.20|A.8.22,SC-2|SC-7,CC6.6,Art.32(1),6.5.1,164.312(a),3.11,
User Authentication,Q_016,MFA,Is Multi Factor Authentication MFA enforced for user access to critical internal systems?,yes_no_partial_with_text,core,A.8.5,IA-2,CC6.1,Art.32(1),8.3.1,164.312(d),6.4|6.5,
User Authentication,Q_017,MFA,Is MFA required for remote access such as VPN virtual desktop or remote gateways?,yes_no_partial_with_text,core,A.8.20|A.8.5,IA-2(1)|AC-17,CC6.6,Art.32(1),8.4.2,164.312(d),6.6,
User Authentication,Q_018,MFA,Is MFA enforced for privileged and administrative user accounts?,yes_no_partial_with_text,core,A.8.2|A.8.5,IA-2|AC-6,CC6.1|CC7.2,Art.32(1),8.4.3,164.308(a)(3)|164.312(d),6.5,
User Authentication,Q_019,MFA,Are there user groups or applications that are explicitly exempted from MFA?,yes_no_partial_with_text,follow_up,A.8.3|A.8.5,AC-2,CC6.7,Art.32(1),8.3.2,164.308(a)(3),6.7,
User Authentication,Q_020,MFA,Are MFA exemptions subject to documented approval and periodic review?,yes_no_partial_with_text,follow_up,A.5.7|A.5.29,RA-3|CA-7,CC3.2|CC4.1,Art.32(2),8.3.2,164.308(a)(1),3.11|4.1,
User Authentication,Q_021,MFA,Are MFA methods based on strong authenticators such as app based OTP hardware tokens or FIDO security keys?,yes_no_partial_with_text,core,A.8.5|A.8.22,IA-2|IA-2(11),CC6.1,Art.32(1),8.3.6,164.312(a)|164.312(d),6.7,
User Authentication,Q_022,MFA,Do you restrict or avoid the use of weaker MFA methods such as SMS one time codes?,yes_no_partial_with_text,follow_up,A.8.5|A.8.25,RA-3|IA-2,CC7.3,Art.32(1),8.3.6,164.306|164.308(a)(1),3.11,
User Authentication,Q_023,MFA,Are MFA settings managed centrally through the IdP or access management platform?,yes_no_partial_with_text,follow_up,A.5.15|A.8.5,AC-2|IA-2,CC6.1|CC6.6,Art.24|Art.32(1),8.2.1,164.308(a)(1),6.3|6.4,
User Authentication,Q_024,MFA,Are users notified when a new MFA device or authenticator is registered for their account?,yes_no_partial_with_text,follow_up,A.6.4|A.8.5,AC-2|IA-5,CC6.8|CC7.2,Art.32(1)|Art.34,8.3.6,164.308(a)(5),16.12,
User Authentication,Q_025,MFA,Are MFA challenges logged including both successful and failed attempts?,yes_no_partial_with_text,follow_up,A.8.16,AU-2|AU-6,CC7.2,Art.30|Art.32(1),10.2,164.312(b),8.2|8.11,
User Authentication,Q_026,MFA,Are MFA failures monitored for signs of brute force or credential stuffing attacks?,yes_no_partial_with_text,follow_up,A.8.16|A.8.23,AU-6|SI-4,CC7.2|CC7.3,Art.32(1),10.6,164.308(a)(6),13.11,
User Authentication,Q_027,MFA,Do you require MFA for user self service password reset or account recovery processes?,yes_no_partial_with_text,core,A.8.5|A.8.9,IA-2|IA-5,CC6.1|CC6.3,Art.32(1),8.3.6,164.312(d),5.4|6.3,
User Authentication,Q_028,MFA,Are time based one time passwords synchronized and protected from replay as part of MFA?,yes_no_partial_with_text,follow_up,A.8.5|A.8.22,IA-2|SC-12,CC6.1,Art.32(1),8.3.6,164.312(a),3.11,
User Authentication,Q_029,MFA,Are MFA requirements clearly defined in security policy and communicated to all relevant users?,yes_no_partial_with_text,core,A.5.1|A.6.3,PL-2,CC1.2|CC2.1,Art.24|Art.32(1),12.1.1,164.308(a)(5),2.3,
User Authentication,Q_030,MFA,Are MFA configurations periodically reviewed to ensure coverage of all critical applications and user groups?,yes_no_partial_with_text,follow_up,A.5.29|A.8.5,CA-7|RA-5,CC4.1,Art.32(1)(d),10.4.2,164.308(a)(8),4.1|6.7,
User Authentication,Q_031,PW,Do you enforce a documented password policy for all user accounts?,yes_no_partial_with_text,core,A.8.9,IA-5,CC6.3,Art.32(1),8.2.3,164.308(a)(5)|164.312(a),5.2|6.3,
User Authentication,Q_032,PW,Does the password policy define minimum length and complexity requirements?,yes_no_partial_with_text,follow_up,A.8.9,IA-5,CC6.3,Art.32(1),8.2.3,164.312(a),5.2,
User Authentication,Q_033,PW,Are default passwords changed before accounts or systems are put into production use?,yes_no_partial_with_text,core,A.8.9|A.8.2,IA-5|CM-6,CC6.3,Art.32(1),2.2.6,164.308(a)(3),4.1|5.2,
User Authentication,Q_034,PW,Are users prevented from reusing a defined number of previous passwords?,yes_no_partial_with_text,follow_up,A.8.9,IA-5,CC6.3,Art.32(1),8.2.5,164.312(a),5.2,
User Authentication,Q_035,PW,Are passwords for privileged accounts subject to stricter rules than standard user passwords?,yes_no_partial_with_text,follow_up,A.8.2|A.8.9,IA-5|AC-6,CC6.3|CC7.2,Art.32(1),8.2.3,164.308(a)(3),5.2|6.5,
User Authentication,Q_036,PW,Are shared or generic user IDs discouraged or tightly controlled through approvals and monitoring?,yes_no_partial_with_text,core,A.8.2|A.8.3,AC-2,CC6.1,Art.5(1)(f)|Art.32(1),7.2.1,164.308(a)(3),6.3,
User Authentication,Q_037,PW,Are system and application passwords stored using secure hashing and salting techniques?,yes_no_partial_with_text,core,A.8.9|A.8.24,SC-12|IA-5,CC6.1,Art.32(1),3.4.2,164.312(a),3.11,
User Authentication,Q_038,PW,Are passwords for administrative or service accounts stored in secure vaults or password managers?,yes_no_partial_with_text,follow_up,A.8.2|A.8.5,IA-5|AC-6,CC6.1,Art.32(1),3.3.3,164.312(a),3.11|6.5,
User Authentication,Q_039,PW,Are temporary or one time passwords expired or changed on first use?,yes_no_partial_with_text,follow_up,A.8.9,IA-5,CC6.3,Art.32(1),8.2.4,164.312(a),5.2,
User Authentication,Q_040,PW,Do you provide secure password reset mechanisms that verify user identity before allowing reset?,yes_no_partial_with_text,core,A.8.9|A.8.5,IA-2|IA-5,CC6.3,Art.32(1),8.3.6,164.312(d),5.4,
User Authentication,Q_041,PW,Are password reset requests logged and periodically reviewed for unusual activity?,yes_no_partial_with_text,follow_up,A.8.16,AU-6,CC7.2,Art.30|Art.32(1),10.2,164.312(b),8.2|8.11,
User Authentication,Q_042,PW,Are users educated on good password practices and phishing risks as part of security awareness?,yes_no_partial_with_text,core,A.6.3,AT-2,CC2.2,Art.39,12.6.1,164.308(a)(5),14.1,
User Authentication,Q_043,PW,Do technical controls prevent the use of commonly compromised or dictionary passwords?,yes_no_partial_with_text,follow_up,A.8.9,IA-5,CC6.3,Art.32(1),5.2.5,164.312(a),5.2,
User Authentication,Q_044,PW,Are password policies applied consistently across on premises and cloud based systems?,yes_no_partial_with_text,core,A.8.9|A.8.22,IA-5|AC-2,CC6.1,Art.32(1),7.2.5,164.308(a)(3),5.2|6.3,
User Authentication,Q_045,PW,Do you configure maximum password age and rotation requirements based on risk?,yes_no_partial_with_text,follow_up,A.8.9,IA-5|RA-3,CC6.3,Art.32(1),8.2.4,164.308(a)(1),5.2,
User Authentication,Q_046,PW,Are passwords for third party and customer user accounts subject to equivalent or stronger policies than internal users?,yes_no_partial_with_text,core,A.5.19|A.8.9,IA-5,CC6.1,Art.28|Art.32(1),8.2.3,164.308(b)(4),3.3|6.3,
User Authentication,Q_047,PW,Are administrative passwords changed promptly when an administrator leaves or changes role?,yes_no_partial_with_text,follow_up,A.8.2|A.8.3,AC-2|IA-5,CC6.2,Art.5(1)(e)|Art.32(1),7.2.5,164.308(a)(3),5.5|6.5,
User Authentication,Q_048,PW,Do you regularly review password policy settings in directory services and cloud platforms?,yes_no_partial_with_text,follow_up,A.5.29|A.8.9,CA-7,CC4.1,Art.32(1)(d),10.4.2,164.308(a)(8),4.1|5.2,
User Authentication,Q_049,PW,Are password changes required after suspected compromise or major security incidents?,yes_no_partial_with_text,core,A.5.26|A.8.9,IR-4|IA-5,CC7.3,Art.32(1),12.10.5,164.308(a)(6),17.3,
User Authentication,Q_050,PW,Are privileged password activities such as retrieval from vaults audited and monitored?,yes_no_partial_with_text,follow_up,A.8.16,AU-2|AU-6,CC7.2,Art.30|Art.32(1),10.2,164.312(b),8.2|8.11,
User Authentication,Q_051,SSO,Do you use Single Sign On SSO for users to access multiple enterprise applications?,yes_no_partial_with_text,core,A.8.22,IA-2,CC6.1,Art.32(1),8.2.1,164.312(d),6.4,
User Authentication,Q_052,SSO,Are SSO sessions initiated only after successful strong primary authentication?,yes_no_partial_with_text,follow_up,A.8.5|A.8.22,IA-2,CC6.1,Art.32(1),8.2.1,164.312(d),6.4,
User Authentication,Q_053,SSO,Are SSO trust relationships configured only with approved and validated identity providers?,yes_no_partial_with_text,core,A.5.20|A.8.22,SC-12|AC-20,CC6.6,Art.28|Art.32(1),12.8,164.308(b)(4),15.1,
User Authentication,Q_054,SSO,Are SSO tokens or assertions protected against replay and tampering?,yes_no_partial_with_text,follow_up,A.8.24|A.8.22,SC-12|SC-23,CC6.1,Art.32(1),4.2.1,164.312(e),3.11,
User Authentication,Q_055,SSO,Do SSO sessions have defined timeouts and reauthentication requirements for sensitive actions?,yes_no_partial_with_text,core,A.8.10|A.8.22,AC-12|IA-2,CC6.1,Art.32(1),8.2.6,164.312(a),3.11|6.7,
User Authentication,Q_056,SSO,Are SSO configurations and metadata changes limited to authorized administrators only?,yes_no_partial_with_text,follow_up,A.8.2|A.8.8,AC-6|CM-5,CC6.2,Art.32(1),6.4.2,164.308(a)(3),4.1|6.5,
User Authentication,Q_057,SSO,Are SSO related events such as login failures and assertion validation errors logged and monitored?,yes_no_partial_with_text,follow_up,A.8.16,AU-6|SI-4,CC7.2|CC7.3,Art.32(1),10.2,164.312(b),8.2|8.11,
User Authentication,Q_058,SSO,Are SSO integrations periodically reviewed to remove unused or high risk connections?,yes_no_partial_with_text,follow_up,A.5.29|A.8.22,CA-7|RA-5,CC4.1,Art.32(1)(d),10.4.2,164.308(a)(8),4.1,
User Authentication,Q_059,SSO,Are user identities and attributes passed in SSO assertions limited to what is necessary for the target application?,yes_no_partial_with_text,core,A.5.12|A.8.22,AC-6|IA-4,CC6.6,Art.5(1)(c)|Art.32(1),3.2.1,164.514(d),3.4,
User Authentication,Q_060,SSO,Are SSO logout or single sign out functions implemented to terminate sessions across applications where feasible?,yes_no_partial_with_text,follow_up,A.8.10|A.8.22,SC-23,CC6.1,Art.32(1),8.2.6,164.312(a),3.11,
User Authentication,Q_061,BIO,Do you use biometric authentication methods such as fingerprint or facial recognition for user access?,yes_no_partial_with_text,core,A.8.5,IA-2,CC6.1,Art.9|Art.32(1),8.3.6,164.312(d),6.7,
User Authentication,Q_062,BIO,Are biometric templates stored securely and protected from unauthorized access or disclosure?,yes_no_partial_with_text,core,A.8.9|A.8.24,SC-12|IA-5,CC6.1,Art.9|Art.32(1),3.4.2,164.312(a),3.11,
User Authentication,Q_063,BIO,Do you provide non biometric alternative authentication methods for users who cannot or do not consent to biometrics?,yes_no_partial_with_text,core,A.6.3|A.8.5,IA-2|AC-6,CC6.1,Art.7|Art.9,8.3.6,164.52,6.3,
User Authentication,Q_064,BIO,Are biometric authentication systems subject to periodic security and privacy risk assessments?,yes_no_partial_with_text,follow_up,A.5.7|A.5.29,RA-3|CA-7,CC3.2|CC4.1,Art.24|Art.35,12.2.1,164.308(a)(1),4.1,
User Authentication,Q_065,BIO,Are biometric authentication logs retained and protected similar to other authentication logs?,yes_no_partial_with_text,follow_up,A.8.16,AU-2|AU-6,CC7.2,Art.30|Art.32(1),10.2,164.312(b),8.2|8.11,
User Authentication,Q_066,LOCK,Do you enforce automatic account lockout after a defined number of failed login attempts?,yes_no_partial_with_text,core,A.8.5|A.8.10,AC-7,CC6.3,Art.32(1),8.2.6,164.312(a),4.1|5.2,
User Authentication,Q_067,LOCK,Is the account lockout threshold based on risk and type of account for example privileged vs standard users?,yes_no_partial_with_text,follow_up,A.8.5|A.8.2,AC-7|RA-3,CC6.3,Art.32(1),8.2.6,164.308(a)(1),4.1|6.5,
User Authentication,Q_068,LOCK,Do locked accounts automatically unlock only after a secure process or defined time period?,yes_no_partial_with_text,follow_up,A.8.5|A.8.9,AC-7|IA-5,CC6.3,Art.32(1),8.2.6,164.312(a),5.2,
User Authentication,Q_069,LOCK,Are repeated lockouts monitored as indicators of brute force or credential stuffing attacks?,yes_no_partial_with_text,follow_up,A.8.16|A.8.23,AU-6|SI-4,CC7.2|CC7.3,Art.32(1),10.6,164.308(a)(6),13.11,
User Authentication,Q_070,LOCK,Do you enforce idle session timeouts for interactive user sessions?,yes_no_partial_with_text,core,A.8.10,AC-12,CC6.1,Art.32(1),8.2.8,164.312(a),3.11,
User Authentication,Q_071,LOCK,Are session timeouts shorter for higher risk applications or privileged sessions?,yes_no_partial_with_text,follow_up,A.8.10|A.8.2,AC-12|RA-3,CC6.1,Art.32(1),8.2.8,164.308(a)(1),3.11|6.5,
User Authentication,Q_072,LOCK,Are users automatically logged out after a defined period of inactivity on web portals and remote sessions?,yes_no_partial_with_text,follow_up,A.8.10,AC-12|SC-23,CC6.1,Art.32(1),8.2.8,164.312(a),3.11,
User Authentication,Q_073,LOCK,Do you prevent multiple concurrent interactive sessions for the same user where not justified by business need?,yes_no_partial_with_text,core,A.8.5|A.8.10,AC-10,CC6.1,Art.32(1),8.2.1,164.312(a),6.3,
User Authentication,Q_074,LOCK,Are suspicious session patterns such as impossible travel or unusual locations detected and alerted?,yes_no_partial_with_text,follow_up,A.8.16|A.8.23,AU-6|SI-4,CC7.2|CC7.3,Art.32(1),10.6,164.308(a)(6),13.11,
User Authentication,Q_075,LOCK,Do you have documented procedures for unlocking user accounts and verifying identity before unlock?,yes_no_partial_with_text,core,A.8.9|A.6.3,IA-5|AC-2,CC6.3,Art.32(1),8.3.6,164.312(d),5.4,
User Authentication,Q_076,RISK,Do you use risk based or adaptive authentication checks such as device reputation location or behavior?,yes_no_partial_with_text,core,A.8.5|A.8.23,IA-2|RA-3,CC7.3,Art.32(1),8.3.1,164.308(a)(1),6.7|13.11,
User Authentication,Q_077,RISK,Are higher risk authentication attempts challenged with stronger mechanisms such as MFA step up?,yes_no_partial_with_text,follow_up,A.8.5|A.8.23,IA-2|IA-2(1),CC7.3,Art.32(1),8.4.2,164.312(d),6.7,
User Authentication,Q_078,RISK,Do you evaluate device characteristics such as managed status or compliance posture during authentication?,yes_no_partial_with_text,core,A.8.22|A.8.23,CM-7|SC-7,CC6.6,Art.32(1),7.2.3,164.308(a)(1),1.1|4.1,
User Authentication,Q_079,RISK,Do you restrict authentication from high risk locations or anonymizing services unless explicitly approved?,yes_no_partial_with_text,follow_up,A.5.20|A.,,,,,,,
User Authentication,Q_080,RISK,Do you restrict authentication from high risk locations or anonymizing services unless explicitly approved?,yes_no_partial_with_text,follow_up,A.5.20|A.8.23,RA-3|AC-20,CC7.3,Art.32(1),1.4.4|8.3.1,164.308(a)(1),13.11,
User Authentication,Q_081,RISK,Are risk based authentication policies such as geo based or device based policies reviewed and tuned on a regular basis?,yes_no_partial_with_text,follow_up,A.5.29|A.8.23,CA-7|RA-5,CC4.1|CC7.3,Art.32(1)(d),12.10.4,164.308(a)(8),4.1|13.11,
User Authentication,Q_082,API,Are external and internal APIs that perform user specific actions protected by strong authentication mechanisms?,yes_no_partial_with_text,core,A.8.5|A.8.24,IA-2|SC-12,CC6.1,Art.32(1),6.4.3,164.312(a)|164.312(d),3.11|6.7,
User Authentication,Q_083,API,Do APIs distinguish between machine to machine authentication and end user based authentication with appropriate controls for each?,yes_no_partial_with_text,core,A.8.2|A.8.5,AC-2|IA-2,CC6.1,Art.25|Art.32(1),6.4.3,164.308(a)(3),3.4|6.3,
User Authentication,Q_084,API,Are API keys or tokens associated with user or service identities generated and rotated in line with a defined standard?,yes_no_partial_with_text,follow_up,A.8.9|A.8.24,IA-5|SC-12,CC6.3,Art.32(1),3.2.1,164.312(a),3.11|5.2,
User Authentication,Q_085,API,Are machine to machine authentication methods such as mutual TLS or signed tokens used instead of static passwords where possible?,yes_no_partial_with_text,follow_up,A.8.5|A.8.24,SC-12|SC-23,CC6.1,Art.32(1),2.2.6|6.4.3,164.312(e),3.11|6.7,
User Authentication,Q_086,API,Are failed API authentication attempts logged with sufficient detail and monitored for unusual patterns?,yes_no_partial_with_text,follow_up,A.8.16,AU-2|AU-6,CC7.2|CC7.3,Art.30|Art.32(1),10.2,164.312(b),8.2|8.11,
User Authentication,Q_087,ADMIN,Are separate administrative accounts used for administrative activities rather than using standard user accounts?,yes_no_partial_with_text,core,A.8.2|A.8.3,AC-2|AC-6,CC6.2|CC7.2,Art.32(1),7.2.1,164.308(a)(3),4.1|6.5,
User Authentication,Q_088,ADMIN,Are administrative logins restricted to hardened admin interfaces such as jump hosts VPN or dedicated management networks?,yes_no_partial_with_text,core,A.8.20|A.8.5,AC-17|SC-7,CC6.6|CC7.2,Art.32(1),8.3.1|8.4.2,164.312(e),12.11,
User Authentication,Q_089,ADMIN,Do you maintain emergency break glass administrative accounts with stronger authentication and strict access procedures?,yes_no_partial_with_text,core,A.8.2|A.8.5,AC-2|IA-2,CC6.1|CC7.2,Art.32(1),8.3.1,164.308(a)(3)|164.312(d),6.3|6.5,
User Authentication,Q_090,ADMIN,Are credentials for privileged and emergency accounts stored and accessed through a controlled mechanism such as a password vault?,yes_no_partial_with_text,follow_up,A.8.2|A.8.9,IA-5|AC-6,CC6.1,Art.32(1),3.3.3,164.312(a),3.11|6.5,
User Authentication,Q_091,ADMIN,Are administrative authentication activities such as logins privilege elevation and session starts recorded and reviewed?,yes_no_partial_with_text,follow_up,A.8.16,AU-2|AU-6,CC7.2,Art.30|Art.32(1),10.2,164.312(b),8.2|8.11,
User Authentication,Q_092,MON,Are authentication logs from critical systems centralized to a logging or SIEM platform?,yes_no_partial_with_text,core,A.8.16,AU-2|AU-12,CC7.2,Art.30|Art.32(1),10.2|10.4,164.312(b),8.2,
User Authentication,Q_093,MON,Do you have defined alerting rules for suspicious authentication related events such as multiple failures or unusual geolocation access?,yes_no_partial_with_text,core,A.8.16|A.8.23,AU-6|SI-4,CC7.2|CC7.3,Art.32(1),10.6,164.308(a)(6),13.11,
User Authentication,Q_094,MON,Is there a documented process to investigate and respond to authentication related alerts and anomalies?,yes_no_partial_with_text,follow_up,A.5.26|A.5.29,IR-4|CA-7,CC4.1|CC7.3,Art.32(1)|Art.33,12.10.1,164.308(a)(6),17.3,
User Authentication,Q_095,MON,Do you correlate authentication events with other security telemetry such as endpoint or network logs to detect complex attacks?,yes_no_partial_with_text,follow_up,A.8.16|A.8.23,AU-6|SI-4,CC7.2|CC7.3,Art.32(1),10.6,164.308(a)(1),13.11,
User Authentication,Q_096,MON,Are authentication and access logs retained for a period that meets business legal and regulatory requirements?,yes_no_partial_with_text,core,A.5.32|A.8.16,AU-11,CC2.2|CC7.2,Art.5(1)(e)|Art.30,10.5,164.312(b),8.2,
User Authentication,Q_097,GOV,Do you maintain a documented authentication standard that references relevant regulations and security frameworks?,yes_no_partial_with_text,core,A.5.1|A.5.15,PL-2,CC1.2,Art.24|Art.32(1),12.1.1,164.308(a)(1),2.3,
User Authentication,Q_098,GOV,Are authentication controls and configurations periodically assessed as part of internal or external security audits?,yes_no_partial_with_text,core,A.5.29|A.5.30,CA-7|CA-2,CC4.1,Art.32(1)(d),12.11.1,164.308(a)(8),4.1,
User Authentication,Q_099,GOV,Are authentication requirements for third party and customer facing systems defined in contracts or security requirements documents?,yes_no_partial_with_text,core,A.5.19|A.5.20,SA-9|AC-20,CC2.1|CC6.6,Art.28|Art.32(1),12.8,164.308(b)(4),15.1,
User Authentication,Q_100,GOV,Are authentication mechanisms and configurations included within regular penetration testing or red team exercises?,yes_no_partial_with_text,core,A.5.36|A.8.23,RA-5|CA-8,CC7.1|CC7.3,Art.32(1),11.4.3,164.308(a)(8),18.3,
User Authentication,Q_101,GOV,Are lessons learned from authentication related incidents used to update authentication policies standards and technical controls?,yes_no_partial_with_text,core,A.5.26|A.5.29,IR-4|CA-7,CC4.1|CC7.3,Art.32(1)|Art.33,12.10.1,164.308(a)(6)|164.308(a)(8),17.3,
Access Authorization and Control,Q_102,RBAC,Is Role Based Access Control RBAC implemented for managing user access across systems?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.1,Art.32(1),7.2.1,164.308(a)(3),6.3,
Access Authorization and Control,Q_103,RBAC,Are roles formally defined and documented based on business functions?,yes_no_partial_with_text,core,A.5.15,AC-2,CC1.2,Art.24|Art.32(1),7.2.1,164.308(a)(1),2.3,
Access Authorization and Control,Q_104,RBAC,Are users assigned roles rather than individual permissions wherever feasible?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.1,Art.32(1),7.2.1,164.308(a)(3),6.3,
Access Authorization and Control,Q_105,RBAC,Are role definitions reviewed periodically to ensure relevance and necessity?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1)(d),10.4.2,164.308(a)(8),4.1,
Access Authorization and Control,Q_106,RBAC,Are role changes subject to formal change approval processes?,yes_no_partial_with_text,core,A.5.23,CM-3,CC5.2,Art.32(1),6.4.2,164.308(a)(1),4.1,
Access Authorization and Control,Q_107,RBAC,Are privileged roles clearly separated from standard user roles?,yes_no_partial_with_text,core,A.8.2,AC-6,CC7.2,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_108,RBAC,Are role assignments logged and auditable?,yes_no_partial_with_text,follow_up,A.8.16,AU-2,CC7.2,Art.30,10.2,164.312(b),8.2,
Access Authorization and Control,Q_109,RBAC,Are duplicate or overlapping roles periodically rationalized?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1)(d),10.4.2,164.308(a)(8),4.1,
Access Authorization and Control,Q_110,RBAC,Are role conflicts identified during role design?,yes_no_partial_with_text,follow_up,A.8.2,AC-5,CC6.3,Art.32(1),7.2.1,164.308(a)(3),6.3,
Access Authorization and Control,Q_111,RBAC,Are role definitions aligned with HR job profiles?,yes_no_partial_with_text,core,A.5.18,AC-2,CC1.2,Art.5(1)(d),7.2.1,164.308(a)(3),3.4,
Access Authorization and Control,Q_112,RBAC,Are generic roles restricted and monitored?,yes_no_partial_with_text,follow_up,A.8.2,AC-2,CC6.1,Art.32(1),7.2.1,164.308(a)(3),6.3,
Access Authorization and Control,Q_113,RBAC,Are application owners involved in role definition?,yes_no_partial_with_text,core,A.5.2,IA-4,CC1.2,Art.24,6.4.1,164.308(a)(1),2.3,
Access Authorization and Control,Q_114,RBAC,Are role catalogs centrally maintained?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.1,Art.32(1),7.2.1,164.308(a)(3),6.3,
Access Authorization and Control,Q_115,RBAC,Are obsolete roles removed promptly?,yes_no_partial_with_text,follow_up,A.8.3,AC-2,CC6.2,Art.5(1)(e),7.2.5,164.308(a)(3),5.5,
Access Authorization and Control,Q_116,RBAC,Are role assignment approvals recorded?,yes_no_partial_with_text,follow_up,A.8.16,AU-2,CC7.2,Art.30,10.2,164.312(b),8.2,
Access Authorization and Control,Q_117,LP,Is the principle of least privilege enforced for all user accounts?,yes_no_partial_with_text,core,A.8.2,AC-6,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_118,LP,Are users granted only the minimum level of access required to perform their job functions?,yes_no_partial_with_text,core,A.8.2,AC-6,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_119,LP,Are access rights reviewed during role changes to remove unnecessary privileges?,yes_no_partial_with_text,follow_up,A.8.3,AC-2,CC6.2,Art.5(1)(e),7.2.5,164.308(a)(3),5.5,
Access Authorization and Control,Q_120,LP,Is just enough access provided rather than persistent broad permissions?,yes_no_partial_with_text,core,A.8.2,AC-6,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_121,LP,Are privileged permissions granted only on a need basis?,yes_no_partial_with_text,core,A.8.2,AC-6,CC7.2,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_122,LP,Are privilege escalations logged and monitored?,yes_no_partial_with_text,follow_up,A.8.16,AU-2|AU-6,CC7.2,Art.30,10.2,164.312(b),8.2,
Access Authorization and Control,Q_123,LP,Are unused elevated privileges revoked automatically after expiry?,yes_no_partial_with_text,follow_up,A.8.3,AC-2,CC6.2,Art.5(1)(e),7.2.5,164.308(a)(3),5.5,
